TargetUser,NeighborUser,Similarity
10048,17053,0.395993
10048,10854,0.383223
10048,36867,0.381750
10048,22018,0.380389
10048,28740,0.373135
10048,19794,0.372942
10048,7207,0.372622
10048,52024,0.370978
10048,34421,0.369264
10048,15497,0.368404
10048,46143,0.368273
10048,23686,0.367468
10048,38166,0.366709
10048,27812,0.366099
10048,12602,0.362456
10048,19643,0.361836
10048,31576,0.360912
10048,11629,0.360455
10048,51850,0.360238
10048,37301,0.360063
10048,1156,0.359770
10048,30394,0.359244
10048,42750,0.358048
10048,25833,0.357880
10048,43248,0.357673
10048,27263,0.357671
10048,26186,0.356103
10048,42784,0.355292
10048,59503,0.355288
10048,70099,0.354607
10048,20092,0.353611
10048,12778,0.353526
10048,21276,0.352931
10048,11601,0.352289
10048,56159,0.352125
10048,41615,0.351418
10048,19820,0.351211
10048,68534,0.349870
10048,62553,0.348731
10048,1058,0.348653
10048,52971,0.348544
10048,47982,0.348539
10048,31532,0.347905
10048,57866,0.347700
10048,9603,0.347609
10048,16248,0.347364
10048,35908,0.347345
10048,27892,0.347277
10048,1549,0.347228
10048,16392,0.347216
